segment_id,edge_id,OD_id,type,length,matching_nodes,shared_distance,detour
139,[1787],6,0,500.00,"[3528, 2842, 302]","[3500, 10500, 6000]","[0, 0, 0]"
140,[1788],6,0,500.00,"[3528, 2842, 302]","[3500, 10500, 6000]","[1000, 1000, 1000]"
141,[1789],6,0,500.00,[],[],[]
142,[1790],6,0,500.00,[1864],[12000],[1000]
143,[1791],6,0,500.00,[1864],[12000],[1000]
144,[1792],6,0,500.00,[],[],[]
145,[1793],6,0,500.00,[],[],[]
146,[726],6,0,500.00,[],[],[]
147,[727],6,0,500.00,[4570],[9500],[1000]
148,[728],6,0,500.00,[4570],[9500],[1000]
149,[729],6,0,500.00,[],[],[]
150,[730],6,0,500.00,[4970],[7000],[0]
151,[731],6,0,500.00,"[4970, 3067]","[7000, 7500]","[0, 1000]"
152,[732],6,0,500.00,"[4970, 3067]","[7000, 7500]","[0, 1000]"
153,[733],6,0,500.00,[4970],[7000],[1000]
154,[734],6,0,500.00,[],[],[]
155,[735],6,0,500.00,[3958],[5500],[1000]
156,[736],6,0,500.00,[3958],[5500],[1000]
157,[737],6,0,500.00,[],[],[]
158,[738],6,0,500.00,[2588],[3000],[0]
159,[739],6,0,500.00,"[3729, 2588]","[3500, 3000]","[1000, 0]"
160,[740],6,0,500.00,"[3729, 2588, 21]","[3500, 3000, 2000]","[1000, 0, 0]"
161,[741],6,0,500.00,"[2588, 21]","[3000, 2000]","[1000, 0]"
162,[742],6,0,500.00,[21],[2000],[0]
163,[743],6,0,500.00,[21],[2000],[1000]
164,[744],6,0,500.00,[],[],[]
165,[745],6,0,500.00,[5350],[500],[1000]
166,[746],6,0,500.00,[],[],[]
167,"[3402, 2531, 1158, 287]",7,1,0.00,"[4881, 5818, 174]","[16500, 3500, 16500]","[1000, 0, 0]"
168,[1157],7,0,500.00,"[4881, 5818, 174, 5703]","[16500, 3500, 16500, 7000]","[1000, 0, 1000, 1000]"
169,[1156],7,0,500.00,"[2193, 5818, 5703]","[15500, 3500, 7000]","[1000, 0, 1000]"
170,[1155],7,0,500.00,"[2193, 5818]","[15500, 3500]","[1000, 1000]"
171,[1154],7,0,500.00,[1378],[13500],[0]
172,[1153],7,0,500.00,[1378],[13500],[0]
173,[1152],7,0,500.00,[1378],[13500],[1000]
174,[1151],7,0,500.00,[],[],[]
175,[1150],7,0,500.00,[],[],[]
176,[1149],7,0,500.00,[],[],[]
177,[1148],7,0,500.00,[],[],[]
178,[1147],7,0,500.00,[],[],[]
179,[1146],7,0,500.00,[],[],[]
180,[1145],7,0,500.00,[],[],[]
181,[1144],7,0,500.00,[],[],[]
182,[1143],7,0,500.00,[1640],[8000],[0]
183,[1142],7,0,500.00,[],[],[]
184,[2068],7,0,500.00,[1640],[8000],[1000]
185,[2069],7,0,500.00,[1640],[8000],[1000]
186,[2070],7,0,500.00,[],[],[]
187,[2071],7,0,500.00,[],[],[]
188,[2072],7,0,500.00,[],[],[]
189,[2073],7,0,500.00,[],[],[]
190,[2074],7,0,500.00,[4156],[4000],[0]
191,[2075],7,0,500.00,[4156],[4000],[0]
192,[2076],7,0,500.00,[4156],[4000],[0]
193,[2077],7,0,500.00,[4156],[4000],[1000]
194,[2078],7,0,500.00,[],[],[]
195,[2079],7,0,500.00,[],[],[]
196,[2080],7,0,500.00,[5836],[2000],[1000]
197,[2081],7,0,500.00,[5836],[2000],[1000]
198,[2082],7,0,500.00,[],[],[]
199,[2083],7,0,500.00,[3958],[500],[1000]
200,[2084],7,0,500.00,[],[],[]
201,"[2923, 1547, 676, 2052]",8,1,0.00,[209],[13000],[0]
202,[2922],8,0,500.00,[209],[13000],[1000]
203,[2921],8,0,500.00,[],[],[]
204,[2920],8,0,500.00,[],[],[]
205,[2919],8,0,500.00,[],[],[]
206,[2918],8,0,500.00,[3495],[9000],[1000]
207,[2917],8,0,500.00,[3495],[9000],[1000]
208,[2916],8,0,500.00,[],[],[]
209,[2915],8,0,500.00,[],[],[]
210,[2914],8,0,500.00,[],[],[]
211,[2913],8,0,500.00,[522],[5500],[0]
212,[2912],8,0,500.00,[],[],[]
213,[2911],8,0,500.00,[],[],[]
214,[2910],8,0,500.00,[],[],[]
215,[2909],8,0,500.00,[],[],[]
216,[2908],8,0,500.00,[],[],[]
217,[2907],8,0,500.00,[],[],[]
218,[2906],8,0,500.00,[],[],[]
219,[2905],8,0,500.00,[],[],[]
220,[2904],8,0,500.00,[],[],[]
221,[2903],8,0,500.00,[],[],[]
222,[2902],8,0,500.00,[],[],[]
223,[2901],8,0,500.00,[],[],[]
224,[908],8,0,500.00,"[5179, 4100]","[1500, 500]","[1000, 0]"
225,[907],8,0,500.00,"[5179, 4100, 6255]","[1500, 500, 1000]","[1000, 0, 1000]"
226,[906],8,0,500.00,"[2321, 4100, 925, 6255]","[500, 500, 500, 1000]","[1000, 0, 1000, 1000]"
227,[905],8,0,500.00,[],[],[]
228,"[2624, 1753, 1276]",9,1,0.00,[237],[14000],[0]
229,[406],9,0,500.00,"[6692, 237]","[12500, 14000]","[0, 1000]"
230,[407],9,0,500.00,[],[],[]
231,[408],9,0,500.00,[2894],[8500],[0]
232,[409],9,0,500.00,[2894],[8500],[0]
233,[410],9,0,500.00,"[2894, 4350]","[8500, 11500]","[1000, 1000]"
234,[411],9,0,500.00,[4350],[11500],[1000]
235,[412],9,0,500.00,[6450],[9500],[0]
236,[413],9,0,500.00,[1848],[7000],[1000]
237,[414],9,0,500.00,[],[],[]
238,[415],9,0,500.00,[],[],[]
239,[416],9,0,500.00,[],[],[]
240,[417],9,0,500.00,[],[],[]
241,[418],9,0,500.00,[],[],[]
242,[419],9,0,500.00,[],[],[]
243,[420],9,0,500.00,[],[],[]
244,[421],9,0,500.00,[],[],[]
245,[422],9,0,500.00,[],[],[]
246,[423],9,0,500.00,[],[],[]
247,[424],9,0,500.00,[],[],[]
248,[425],9,0,500.00,"[6206, 6735]","[3000, 3000]","[0, 0]"
249,[426],9,0,500.00,[],[],[]
250,[427],9,0,500.00,[],[],[]
251,[428],9,0,500.00,[],[],[]
252,[429],9,0,500.00,"[773, 1261]","[2000, 2000]","[1000, 1000]"
253,[430],9,0,500.00,"[1261, 6226, 773]","[2000, 1500, 2000]","[1000, 1000, 1000]"
254,[3348],9,0,500.00,"[1234, 6226, 2446]","[1000, 1500, 1000]","[1000, 1000, 1000]"
255,[3347],9,0,500.00,"[1234, 2446]","[1000, 1000]","[1000, 1000]"
256,[3346],9,0,500.00,[],[],[]
257,"[864, 2464, 1735]",10,1,0.00,"[1730, 267, 3370, 1533]","[10500, 10500, 11000, 11000]","[0, 0, 1000, 1000]"
258,[3334],10,0,500.00,"[1730, 267]","[10500, 10500]","[1000, 1000]"
259,[3333],10,0,500.00,[],[],[]
260,[3332],10,0,500.00,[],[],[]
261,[3331],10,0,500.00,[],[],[]
262,[3330],10,0,500.00,[],[],[]
263,[3329],10,0,500.00,[],[],[]
264,[3328],10,0,500.00,[],[],[]
265,[3327],10,0,500.00,[],[],[]
266,[3326],10,0,500.00,[],[],[]
267,[3325],10,0,500.00,[],[],[]
268,[3324],10,0,500.00,[],[],[]
269,[3323],10,0,500.00,[],[],[]
270,[3322],10,0,500.00,[773],[4000],[1000]
271,[3321],10,0,500.00,[773],[4000],[1000]
272,[3320],10,0,500.00,[],[],[]
273,[3319],10,0,500.00,[],[],[]
274,[3318],10,0,500.00,[988],[2000],[1000]
275,[3317],10,0,500.00,"[988, 1917]","[2000, 500]","[1000, 0]"
276,[3316],10,0,500.00,"[5818, 1917]","[1000, 500]","[1000, 0]"
277,[3315],10,0,500.00,"[5818, 1917, 5703]","[1000, 500, 500]","[1000, 0, 1000]"
278,[3314],10,0,500.00,[],[],[]
279,"[3144, 2273, 1236, 365]",11,1,0.00,"[290, 6206]","[5000, 5000]","[0, 1000]"
280,[2274],11,0,500.00,[290],[5000],[1000]
281,[2275],11,0,500.00,[],[],[]
282,[2276],11,0,500.00,[],[],[]
283,[2277],11,0,500.00,[6999],[3000],[1000]
284,[2278],11,0,500.00,[],[],[]
285,[2279],11,0,500.00,[],[],[]
286,[2280],11,0,500.00,[],[],[]
287,[2281],11,0,500.00,[],[],[]
288,[2282],11,0,500.00,[],[],[]
289,[627],11,0,500.00,[],[],[]
290,"[552, 1816, 2687, 1423]",12,1,0.00,"[3528, 302]","[3500, 6000]","[0, 0]"
291,[1817],12,0,500.00,"[3528, 302]","[3500, 6000]","[1000, 1000]"
292,[1818],12,0,500.00,[],[],[]
293,[1819],12,0,500.00,[6182],[3500],[0]
294,[1820],12,0,500.00,"[6529, 2035, 6182]","[4000, 3000, 3500]","[1000, 0, 0]"
295,[1821],12,0,500.00,"[6529, 4570, 2035, 6182]","[4000, 2500, 3000, 3500]","[1000, 0, 0, 0]"
296,[1822],12,0,500.00,"[2035, 6182]","[3000, 3500]","[0, 1000]"
297,[727],12,0,500.00,"[792, 4570, 2035]","[2500, 2500, 3000]","[1000, 1000, 1000]"
298,[728],12,0,500.00,"[792, 4570]","[2500, 2500]","[1000, 1000]"
299,[729],12,0,500.00,[],[],[]
300,[730],12,0,500.00,[],[],[]
301,[731],12,0,500.00,"[3441, 3067]","[500, 500]","[1000, 1000]"
302,[732],12,0,500.00,[],[],[]
303,"[1674, 803, 3246, 2375]",13,1,0.00,[316],[17500],[0]
304,[3245],13,0,500.00,[316],[17500],[1000]
305,[3244],13,0,500.00,[],[],[]
306,[3243],13,0,500.00,[6616],[4000],[0]
307,[3242],13,0,500.00,[6616],[4000],[0]
308,[3241],13,0,500.00,[6616],[4000],[1000]
309,[3240],13,0,500.00,[],[],[]
310,[3239],13,0,500.00,[],[],[]
311,[3238],13,0,500.00,[],[],[]
312,[3237],13,0,500.00,[],[],[]
313,[3236],13,0,500.00,[1019],[6000],[1000]
314,[3235],13,0,500.00,[1019],[6000],[1000]
315,[3234],13,0,500.00,[],[],[]
316,[3233],13,0,500.00,[],[],[]
317,[3232],13,0,500.00,[1484],[7000],[1000]
318,[3231],13,0,500.00,[1484],[7000],[1000]
319,[3230],13,0,500.00,[],[],[]
320,[3229],13,0,500.00,[],[],[]
321,[3228],13,0,500.00,[6626],[7500],[0]
322,[3227],13,0,500.00,[],[],[]
323,[3226],13,0,500.00,[],[],[]
324,[3225],13,0,500.00,[1213],[7000],[1000]
325,[3224],13,0,500.00,[1213],[7000],[1000]
326,[1035],13,0,500.00,[1953],[5000],[0]
327,[1034],13,0,500.00,"[1953, 5254]","[5000, 4500]","[0, 0]"
328,[1033],13,0,500.00,"[1953, 5254]","[5000, 4500]","[0, 0]"
329,[1032],13,0,500.00,"[1953, 5774, 5254]","[5000, 3500, 4500]","[1000, 0, 0]"
330,[1031],13,0,500.00,"[5254, 5774]","[4500, 3500]","[1000, 0]"
331,[1030],13,0,500.00,[5774],[3500],[0]
332,[1029],13,0,500.00,"[4690, 5774]","[2000, 3500]","[0, 1000]"
333,[1028],13,0,500.00,"[4690, 3238]","[2000, 2500]","[0, 1000]"
334,[1027],13,0,500.00,"[4690, 2940, 3238]","[2000, 2000, 2500]","[0, 1000, 1000]"
335,[1026],13,0,500.00,"[4690, 2940, 4317]","[2000, 2000, 1500]","[1000, 1000, 1000]"
336,[1025],13,0,500.00,[4317],[1500],[1000]
337,[1024],13,0,500.00,[],[],[]
338,[1023],13,0,500.00,[],[],[]
339,"[2656, 1785, 1364, 493]",14,1,0.00,[353],[6000],[0]
340,[1363],14,0,500.00,[353],[6000],[1000]
341,[1757],14,0,500.00,[],[],[]
342,[1758],14,0,500.00,[],[],[]
343,[1759],14,0,500.00,[2676],[3000],[0]
344,[1760],14,0,500.00,[2676],[3000],[0]
345,[1761],14,0,500.00,[2676],[3000],[0]
346,[1762],14,0,500.00,[2676],[3000],[1000]
347,[1763],14,0,500.00,[],[],[]
348,[1764],14,0,500.00,[2977],[500],[0]
349,[1765],14,0,500.00,[2977],[500],[0]
350,[1766],14,0,500.00,[2977],[500],[0]
351,[1767],14,0,500.00,[],[],[]
352,"[2613, 957, 1742]",15,1,0.00,"[3602, 1686, 367]","[13500, 11000, 14500]","[0, 0, 0]"
353,[1743],15,0,500.00,"[1686, 367]","[11000, 14500]","[0, 1000]"
354,[1744],15,0,500.00,[1686],[11000],[1000]
355,[1745],15,0,500.00,[],[],[]
356,[1746],15,0,500.00,[621],[6000],[1000]
357,[1747],15,0,500.00,[],[],[]
358,[1748],15,0,500.00,[],[],[]
359,[261],15,0,500.00,[6319],[11000],[1000]
360,[262],15,0,500.00,[6319],[11000],[1000]
361,[263],15,0,500.00,[4811],[10000],[1000]
362,[264],15,0,500.00,"[5730, 4811]","[8500, 10000]","[0, 1000]"
363,[265],15,0,500.00,[5730],[8500],[0]
364,[266],15,0,500.00,[5730],[8500],[0]
365,[267],15,0,500.00,[5730],[8500],[1000]
366,[268],15,0,500.00,[1765],[6500],[0]
367,[269],15,0,500.00,[1765],[6500],[0]
368,[270],15,0,500.00,"[5449, 1765]","[5500, 6500]","[0, 0]"
369,[271],15,0,500.00,"[5449, 1765, 6303]","[5500, 6500, 6000]","[0, 1000, 1000]"
370,[272],15,0,500.00,"[5449, 6303]","[5500, 6000]","[0, 1000]"
371,[273],15,0,500.00,[5449],[5500],[1000]
372,[274],15,0,500.00,[5042],[3500],[0]
373,[275],15,0,500.00,[5042],[3500],[0]
374,[276],15,0,500.00,[5042],[3500],[0]
375,[277],15,0,500.00,[5042],[3500],[1000]
376,[278],15,0,500.00,[],[],[]
377,[279],15,0,500.00,[],[],[]
378,[280],15,0,500.00,[],[],[]
379,[281],15,0,500.00,[],[],[]
380,[282],15,0,500.00,[1917],[500],[1000]
381,[283],15,0,500.00,[],[],[]
382,"[1282, 411, 2798, 1927]",16,1,0.00,[398],[10500],[0]
383,[1928],16,0,500.00,"[6835, 398]","[9000, 10500]","[0, 1000]"
384,[1929],16,0,500.00,[],[],[]
385,[1930],16,0,500.00,[],[],[]
386,[1931],16,0,500.00,[],[],[]
387,[1932],16,0,500.00,[6925],[7000],[0]
388,[1933],16,0,500.00,[],[],[]
389,[1934],16,0,500.00,[],[],[]
390,[1935],16,0,500.00,[],[],[]
391,[644],16,0,500.00,[],[],[]
392,[645],16,0,500.00,[],[],[]
393,[646],16,0,500.00,"[4074, 5836]","[4000, 5000]","[0, 1000]"
394,[647],16,0,500.00,"[2257, 4074, 5836]","[4500, 4000, 5000]","[1000, 0, 1000]"
395,[648],16,0,500.00,"[1344, 2257, 4074, 1109]","[4000, 4500, 4000, 4000]","[1000, 1000, 0, 1000]"
396,[649],16,0,500.00,"[1344, 4074, 1109]","[4000, 4000, 4000]","[1000, 1000, 1000]"
397,[650],16,0,500.00,[],[],[]
398,[651],16,0,500.00,[],[],[]
399,[652],16,0,500.00,[],[],[]
400,[653],16,0,500.00,[],[],[]
401,[654],16,0,500.00,[],[],[]
402,[655],16,0,500.00,[],[],[]
403,[656],16,0,500.00,[],[],[]
404,"[608, 2600, 3471]",17,1,0.00,[421],[22500],[0]
405,[3470],17,0,500.00,[421],[22500],[1000]
406,[3469],17,0,500.00,[4121],[16500],[0]
407,[3468],17,0,500.00,[],[],[]
408,[3467],17,0,500.00,[],[],[]
409,[3466],17,0,500.00,[2606],[12500],[0]
410,[3465],17,0,500.00,[2606],[12500],[0]
411,[3464],17,0,500.00,[2606],[12500],[1000]
412,[3463],17,0,500.00,[],[],[]
413,[3462],17,0,500.00,[],[],[]
414,[3461],17,0,500.00,"[1201, 1825]","[5000, 6000]","[0, 1000]"
415,[3460],17,0,500.00,"[1201, 1825]","[5000, 6000]","[0, 1000]"
416,[3459],17,0,500.00,"[1201, 3419]","[5000, 10000]","[0, 0]"
417,[3458],17,0,500.00,[1201],[5000],[1000]
418,[3457],17,0,500.00,[],[],[]
419,[3456],17,0,500.00,[],[],[]
420,[3455],17,0,500.00,[],[],[]
421,[1014],17,0,500.00,[],[],[]
422,[1013],17,0,500.00,[],[],[]
423,[1012],17,0,500.00,[],[],[]
424,[1011],17,0,500.00,[],[],[]
425,[1010],17,0,500.00,[1943],[4000],[1000]
426,[1009],17,0,500.00,"[1213, 1943]","[9500, 4000]","[1000, 1000]"
427,[1008],17,0,500.00,[1213],[9500],[1000]
428,[1007],17,0,500.00,[1213],[9500],[1000]
429,[1006],17,0,500.00,[],[],[]
430,[1005],17,0,500.00,[],[],[]
431,[1004],17,0,500.00,[],[],[]
432,[1003],17,0,500.00,[],[],[]
433,[1002],17,0,500.00,[],[],[]
434,[1001],17,0,500.00,[],[],[]
435,[1000],17,0,500.00,[],[],[]
436,[999],17,0,500.00,[],[],[]
437,[998],17,0,500.00,[],[],[]
438,[997],17,0,500.00,[],[],[]
439,[996],17,0,500.00,[],[],[]
440,[995],17,0,500.00,[],[],[]
441,[994],17,0,500.00,[],[],[]
442,[993],17,0,500.00,[],[],[]
443,[992],17,0,500.00,[],[],[]
444,[991],17,0,500.00,[],[],[]
445,[990],17,0,500.00,[],[],[]
446,[989],17,0,500.00,[],[],[]
447,[988],17,0,500.00,[],[],[]
448,[987],17,0,500.00,[367],[500],[1000]
449,[986],17,0,500.00,[],[],[]
450,"[2665, 1625, 754, 1794]",18,1,0.00,"[6529, 2035, 468]","[6000, 7000, 7000]","[0, 1000, 0]"
451,[2664],18,0,500.00,"[6529, 2035, 468]","[6000, 7000, 7000]","[0, 1000, 1000]"
452,[2663],18,0,500.00,[6529],[6000],[0]
453,[2662],18,0,500.00,[6529],[6000],[1000]
454,[2661],18,0,500.00,"[4713, 2690]","[5000, 5000]","[1000, 1000]"
455,[2660],18,0,500.00,"[4713, 2690]","[5000, 5000]","[1000, 1000]"
456,[2659],18,0,500.00,[],[],[]
457,[2658],18,0,500.00,[],[],[]
458,[2657],18,0,500.00,[],[],[]
459,[2656],18,0,500.00,[5670],[1500],[0]
460,[2655],18,0,500.00,[5670],[1500],[0]
461,[2654],18,0,500.00,"[5827, 237, 5670]","[500, 1500, 1500]","[0, 1000, 0]"
462,[2653],18,0,500.00,"[5827, 237, 5670]","[500, 1500, 1500]","[0, 1000, 1000]"
463,[2652],18,0,500.00,"[5938, 5827]","[500, 500]","[1000, 0]"
464,[2651],18,0,500.00,[],[],[]
465,"[1696, 825, 3044, 2173]",19,1,0.00,"[1809, 484, 1981]","[7000, 18000, 6500]","[0, 0, 1000]"
466,[3043],19,0,500.00,"[484, 1981, 5982]","[18000, 6500, 15500]","[1000, 1000, 0]"
467,[3042],19,0,500.00,[5982],[15500],[0]
468,[3041],19,0,500.00,"[6681, 5982]","[4500, 15500]","[0, 1000]"
469,[3040],19,0,500.00,"[1328, 6681]","[7000, 4500]","[0, 0]"
470,[3039],19,0,500.00,"[1328, 6681, 3870]","[7000, 4500, 8500]","[0, 0, 1000]"
471,[3038],19,0,500.00,"[1328, 6681, 3870]","[7000, 4500, 8500]","[0, 1000, 1000]"
472,[3037],19,0,500.00,[1328],[7000],[1000]
473,[3036],19,0,500.00,[],[],[]
474,[3035],19,0,500.00,[],[],[]
475,[3034],19,0,500.00,[],[],[]
476,[3033],19,0,500.00,[],[],[]
477,[3032],19,0,500.00,[],[],[]
478,[3031],19,0,500.00,[],[],[]
479,[3030],19,0,500.00,[],[],[]
480,[3029],19,0,500.00,[],[],[]
481,[3028],19,0,500.00,[],[],[]
482,[3027],19,0,500.00,[],[],[]
483,[3026],19,0,500.00,[],[],[]
484,[3025],19,0,500.00,[],[],[]
485,[3024],19,0,500.00,[],[],[]
486,[3023],19,0,500.00,[],[],[]
487,[3022],19,0,500.00,[],[],[]
488,[3021],19,0,500.00,[],[],[]
489,[3020],19,0,500.00,[],[],[]
490,[3019],19,0,500.00,[],[],[]
491,[3018],19,0,500.00,[],[],[]
492,[3017],19,0,500.00,[],[],[]
493,[912],19,0,500.00,[],[],[]
494,[911],19,0,500.00,[],[],[]
495,[910],19,0,500.00,[],[],[]
496,[909],19,0,500.00,[],[],[]
