OD_id,origin_id,destination_id,order_number,lambda
331,582,32,834,0.013627451
332,379,27,834,0.013627451
333,302,314,833,0.013611111
334,535,380,832,0.013594771
335,27,674,832,0.013594771
336,331,310,826,0.013496732
337,145,27,825,0.013480392
338,335,588,823,0.013447712
339,380,84,823,0.013447712
340,105,131,823,0.013447712
341,335,522,823,0.013447712
342,479,582,821,0.013415033
343,16,380,821,0.013415033
344,9,80,820,0.013398693
345,77,311,819,0.013382353
346,310,582,817,0.013349673
347,302,105,817,0.013349673
348,107,380,817,0.013349673
349,105,48,816,0.013333333
350,380,10,814,0.013300654
351,77,522,813,0.013284314
352,27,497,811,0.013251634
353,582,314,807,0.013186275
354,77,107,806,0.013169935
355,27,14,806,0.013169935
356,353,80,806,0.013169935
357,32,105,804,0.013137255
358,479,314,804,0.013137255
359,311,105,803,0.013120915
360,77,498,802,0.013104575
361,105,498,802,0.013104575
362,77,393,801,0.013088235
363,68,582,801,0.013088235
364,16,314,800,0.013071895
365,335,353,799,0.013055556
366,10,224,797,0.013022876
367,105,95,795,0.012990196
368,302,582,794,0.012973856
369,582,354,794,0.012973856
370,3,314,793,0.012957516
371,582,379,793,0.012957516
372,314,347,793,0.012957516
373,77,123,793,0.012957516
374,32,473,792,0.012941176
375,105,313,787,0.012859477
376,27,463,786,0.012843137
377,380,310,786,0.012843137
378,105,443,784,0.012810458
379,302,473,781,0.012761438
380,380,367,781,0.012761438
381,27,689,781,0.012761438
382,562,27,781,0.012761438
383,230,314,781,0.012761438
384,27,250,777,0.012696078
385,314,77,777,0.012696078
386,522,380,776,0.012679739
387,353,655,775,0.012663399
388,230,582,774,0.012647059
389,335,347,772,0.012614379
390,27,614,769,0.012565359
391,131,27,769,0.012565359
392,77,586,768,0.01254902
393,582,311,767,0.01253268
394,27,638,766,0.01251634
395,77,529,766,0.01251634
396,26,158,765,0.0125
397,473,473,764,0.01248366
398,280,158,764,0.01248366
399,331,105,764,0.01248366
400,588,471,763,0.01246732
401,380,331,762,0.01245098
402,105,236,761,0.012434641
403,105,11,760,0.012418301
404,529,27,760,0.012418301
405,311,16,760,0.012418301
406,27,511,759,0.012401961
407,588,105,757,0.012369281
408,314,307,757,0.012369281
409,335,68,756,0.012352941
410,314,463,749,0.012238562
411,335,394,746,0.012189542
412,331,16,745,0.012173203
413,588,224,745,0.012173203
414,335,3,745,0.012173203
415,588,380,744,0.012156863
416,27,514,744,0.012156863
417,105,3,744,0.012156863
418,313,302,744,0.012156863
419,614,27,743,0.012140523
420,367,105,743,0.012140523
421,380,397,743,0.012140523
422,32,16,743,0.012140523
423,397,27,743,0.012140523
424,380,473,742,0.012124183
425,380,311,742,0.012124183
426,77,250,742,0.012124183
427,380,394,741,0.012107843
428,313,335,741,0.012107843
429,105,558,741,0.012107843
430,27,264,740,0.012091503
431,314,196,739,0.012075163
432,314,393,739,0.012075163
433,335,33,739,0.012075163
434,313,16,738,0.012058824
435,27,97,738,0.012058824
436,9,16,737,0.012042484
437,473,31,737,0.012042484
438,9,353,736,0.012026144
439,331,335,736,0.012026144
440,313,10,734,0.011993464
441,9,354,734,0.011993464
442,314,145,733,0.011977124
443,331,224,730,0.011928105
444,27,723,729,0.011911765
445,313,32,727,0.011879085
446,77,236,727,0.011879085
447,3,473,726,0.011862745
448,33,582,725,0.011846405
449,80,582,725,0.011846405
450,314,314,724,0.011830065
451,331,393,724,0.011830065
452,380,9,723,0.011813725
453,335,311,723,0.011813725
454,9,32,722,0.011797386
455,473,479,722,0.011797386
456,107,105,721,0.011781046
457,314,131,721,0.011781046
458,27,164,719,0.011748366
459,314,334,715,0.011683007
460,77,302,715,0.011683007
461,313,379,714,0.011666667
462,582,522,714,0.011666667
463,16,105,712,0.011633987
464,335,48,709,0.011584967
465,473,335,709,0.011584967
466,313,471,708,0.011568627
467,532,655,708,0.011568627
468,353,380,707,0.011552288
469,77,11,707,0.011552288
470,27,114,707,0.011552288
471,473,16,706,0.011535948
472,84,27,706,0.011535948
473,236,529,706,0.011535948
474,532,80,705,0.011519608
475,354,27,705,0.011519608
476,582,367,704,0.011503268
477,32,224,703,0.011486928
478,105,107,703,0.011486928
479,314,15,703,0.011486928
480,331,230,702,0.011470588
481,77,354,702,0.011470588
482,380,335,702,0.011470588
483,313,33,701,0.011454248
484,77,280,701,0.011454248
485,27,307,701,0.011454248
486,314,638,700,0.011437908
487,522,473,700,0.011437908
488,380,393,699,0.011421569
489,204,27,699,0.011421569
490,335,313,696,0.011372549
491,314,123,695,0.011356209
492,348,473,695,0.011356209
493,335,95,694,0.011339869
494,313,522,694,0.011339869
495,123,380,694,0.011339869
496,105,6,693,0.011323529
497,105,471,691,0.01129085
498,6,20,691,0.01129085
499,26,243,691,0.01129085
500,105,596,691,0.01129085
501,335,498,690,0.01127451
502,9,335,689,0.01125817
503,3,105,689,0.01125817
504,582,353,689,0.01125817
505,331,397,689,0.01125817
506,230,224,689,0.01125817
507,32,302,687,0.01122549
508,588,310,685,0.01119281
509,9,331,683,0.011160131
510,397,105,683,0.011160131
511,236,397,681,0.011127451
512,313,331,680,0.011111111
513,105,250,679,0.011094771
514,224,10,679,0.011094771
515,397,80,679,0.011094771
516,33,473,678,0.011078431
517,501,27,677,0.011062092
518,26,80,676,0.011045752
519,105,655,676,0.011045752
520,10,105,674,0.011013072
521,77,334,673,0.010996732
522,535,27,673,0.010996732
523,230,80,672,0.010980392
524,473,379,671,0.010964052
525,32,310,670,0.010947712
526,48,27,670,0.010947712
527,663,314,670,0.010947712
528,295,27,670,0.010947712
529,314,498,669,0.010931373
530,311,9,667,0.010898693
531,310,380,667,0.010898693
532,80,314,667,0.010898693
533,105,105,666,0.010882353
534,655,27,664,0.010849673
535,588,80,664,0.010849673
536,331,367,664,0.010849673
537,77,532,663,0.010833333
538,10,473,663,0.010833333
539,10,16,663,0.010833333
540,380,123,662,0.010816993
541,80,331,662,0.010816993
542,314,443,662,0.010816993
543,313,311,661,0.010800654
544,522,310,661,0.010800654
545,380,230,661,0.010800654
546,443,353,661,0.010800654
547,331,473,660,0.010784314
548,68,335,660,0.010784314
549,313,230,659,0.010767974
550,311,335,659,0.010767974
551,532,26,658,0.010751634
552,582,33,657,0.010735294
553,230,335,657,0.010735294
554,77,655,656,0.010718954
555,335,50,656,0.010718954
556,367,380,655,0.010702614
557,311,354,655,0.010702614
558,27,242,655,0.010702614
559,27,196,654,0.010686275
560,224,230,654,0.010686275
561,473,32,653,0.010669935
562,367,80,653,0.010669935
563,33,105,652,0.010653595
564,379,380,651,0.010637255
565,311,123,650,0.010620915
566,80,16,649,0.010604575
567,582,393,649,0.010604575
568,236,655,649,0.010604575
569,105,532,647,0.010571895
570,311,397,647,0.010571895
571,224,123,647,0.010571895
572,380,596,646,0.010555556
573,514,243,646,0.010555556
574,9,302,646,0.010555556
575,498,27,644,0.010522876
576,32,131,643,0.010506536
577,562,158,643,0.010506536
578,335,11,641,0.010473856
579,68,473,639,0.010441176
580,588,335,638,0.010424837
581,479,27,638,0.010424837
582,68,380,638,0.010424837
583,224,310,638,0.010424837
584,27,398,637,0.010408497
585,224,473,637,0.010408497
586,353,26,637,0.010408497
587,123,473,636,0.010392157
588,596,105,636,0.010392157
589,586,27,636,0.010392157
590,582,475,634,0.010359477
591,280,353,634,0.010359477
592,335,471,634,0.010359477
593,473,95,634,0.010359477
594,16,158,634,0.010359477
595,77,26,633,0.010343137
596,331,302,632,0.010326797
597,335,84,630,0.010294118
598,105,638,629,0.010277778
599,105,50,629,0.010277778
600,56,27,629,0.010277778
601,3,80,629,0.010277778
602,224,379,628,0.010261438
603,3,582,628,0.010261438
604,380,353,627,0.010245098
605,473,10,627,0.010245098
606,295,314,627,0.010245098
607,311,393,626,0.010228758
608,27,130,626,0.010228758
609,314,479,623,0.010179739
610,32,123,623,0.010179739
611,313,123,622,0.010163399
612,522,379,620,0.010130719
613,314,588,620,0.010130719
614,6,473,619,0.010114379
615,105,243,619,0.010114379
616,3,335,619,0.010114379
617,236,224,618,0.010098039
618,394,27,618,0.010098039
619,6,105,617,0.010081699
620,314,394,617,0.010081699
621,314,50,616,0.010065359
622,20,348,616,0.010065359
623,32,80,615,0.01004902
624,354,105,615,0.01004902
625,32,9,614,0.01003268
626,311,10,614,0.01003268
627,582,95,614,0.01003268
628,311,522,613,0.01001634
629,331,311,612,0.01
630,331,9,612,0.01
631,280,80,612,0.01
632,335,77,612,0.01
633,335,596,611,0.00998366
634,27,274,610,0.00996732
635,310,80,609,0.00995098
636,380,609,609,0.00995098
637,9,397,608,0.009934641
638,311,302,607,0.009918301
639,588,33,607,0.009918301
640,236,394,607,0.009918301
641,25,353,605,0.009885621
642,107,314,605,0.009885621
643,16,224,604,0.009869281
644,335,6,603,0.009852941
645,582,6,603,0.009852941
646,105,586,602,0.009836601
647,105,529,601,0.009820261
648,394,80,601,0.009820261
649,80,473,600,0.009803922
650,311,32,600,0.009803922
651,379,314,600,0.009803922
652,473,331,600,0.009803922
653,219,27,599,0.009787582
654,313,6,598,0.009771242
655,20,204,598,0.009771242
656,236,331,598,0.009771242
657,68,230,597,0.009754902
658,367,314,597,0.009754902
659,9,367,597,0.009754902
660,473,471,596,0.009738562
661,473,348,595,0.009722222
662,105,31,595,0.009722222
663,663,582,595,0.009722222
664,335,131,594,0.009705882
665,105,663,594,0.009705882
666,131,224,593,0.009689542
667,331,394,592,0.009673203
668,77,398,592,0.009673203
669,473,3,592,0.009673203
670,6,32,591,0.009656863
671,314,674,591,0.009656863
672,11,80,590,0.009640523
673,311,230,590,0.009640523
674,302,34,590,0.009640523
675,535,314,590,0.009640523
676,9,588,590,0.009640523
677,335,348,589,0.009624183
678,27,708,589,0.009624183
679,230,16,589,0.009624183
680,609,80,589,0.009624183
681,582,68,589,0.009624183
682,353,105,588,0.009607843
683,313,354,588,0.009607843
684,27,34,588,0.009607843
685,230,331,588,0.009607843
686,640,27,587,0.009591503
687,313,68,586,0.009575163
688,314,655,586,0.009575163
689,3,380,585,0.009558824
690,48,314,585,0.009558824
691,335,236,585,0.009558824
692,236,310,585,0.009558824
693,393,105,585,0.009558824
694,335,107,584,0.009542484
695,586,80,584,0.009542484
696,130,105,584,0.009542484
697,479,224,583,0.009526144
698,335,558,583,0.009526144
699,313,475,583,0.009526144
700,105,609,583,0.009526144
701,27,385,581,0.009493464
702,302,80,581,0.009493464
703,105,295,581,0.009493464
704,224,655,581,0.009493464
705,331,84,581,0.009493464
706,224,331,580,0.009477124
707,6,582,580,0.009477124
708,130,32,580,0.009477124
709,314,313,580,0.009477124
710,473,6,579,0.009460784
711,236,367,579,0.009460784
712,27,640,578,0.009444444
713,367,582,577,0.009428105
714,397,380,576,0.009411765
715,123,314,576,0.009411765
716,313,689,575,0.009395425
717,310,473,575,0.009395425
718,380,236,575,0.009395425
719,123,582,574,0.009379085
720,302,224,574,0.009379085
721,335,250,574,0.009379085
722,473,311,574,0.009379085
723,331,123,574,0.009379085
724,123,224,573,0.009362745
725,380,586,573,0.009362745
726,236,280,573,0.009362745
727,588,522,573,0.009362745
728,596,397,573,0.009362745
729,77,471,572,0.009346405
730,532,443,572,0.009346405
731,522,123,572,0.009346405
732,335,655,569,0.009297386
733,236,314,569,0.009297386
734,335,31,569,0.009297386
735,68,80,568,0.009281046
736,588,32,567,0.009264706
737,105,26,567,0.009264706
738,107,582,567,0.009264706
739,20,196,566,0.009248366
740,33,80,564,0.009215686
741,331,77,564,0.009215686
742,310,224,564,0.009215686
743,77,588,563,0.009199346
744,16,582,562,0.009183007
745,354,380,562,0.009183007
746,353,16,562,0.009183007
747,25,27,562,0.009183007
748,26,16,562,0.009183007
749,588,331,561,0.009166667
750,354,582,559,0.009133987
751,588,16,559,0.009133987
752,27,501,558,0.009117647
753,27,30,558,0.009117647
754,314,11,558,0.009117647
755,313,95,557,0.009101307
756,558,314,557,0.009101307
757,582,582,557,0.009101307
758,588,230,557,0.009101307
759,313,367,556,0.009084967
760,582,397,556,0.009084967
761,123,105,555,0.009068627
762,274,158,554,0.009052288
763,236,16,553,0.009035948
764,105,280,553,0.009035948
765,250,380,552,0.009019608
766,20,708,552,0.009019608
767,314,535,552,0.009019608
768,230,302,551,0.009003268
769,335,443,551,0.009003268
770,302,380,551,0.009003268
771,84,105,550,0.008986928
772,10,32,550,0.008986928
773,380,354,550,0.008986928
774,380,250,549,0.008970588
775,68,16,549,0.008970588
776,348,32,549,0.008970588
777,280,529,548,0.008954248
778,535,80,547,0.008937908
779,77,33,546,0.008921569
780,313,314,546,0.008921569
781,32,335,546,0.008921569
782,224,498,546,0.008921569
783,224,9,546,0.008921569
784,310,105,546,0.008921569
785,314,107,546,0.008921569
786,473,68,545,0.008905229
787,27,121,545,0.008905229
788,32,347,545,0.008905229
789,314,236,545,0.008905229
790,236,582,544,0.008888889
791,393,380,543,0.008872549
792,353,443,543,0.008872549
793,588,9,542,0.008856209
794,314,596,542,0.008856209
795,130,224,542,0.008856209
796,473,33,542,0.008856209
797,663,224,541,0.008839869
798,68,33,541,0.008839869
799,582,443,540,0.008823529
800,230,10,540,0.008823529
801,280,243,539,0.00880719
802,443,655,538,0.00879085
803,20,31,537,0.00877451
804,236,514,537,0.00877451
805,529,353,536,0.00875817
806,105,347,536,0.00875817
807,27,475,535,0.00874183
808,588,10,535,0.00874183
809,224,32,534,0.00872549
810,313,3,534,0.00872549
811,473,347,534,0.00872549
812,314,586,534,0.00872549
813,16,310,534,0.00872549
814,77,141,534,0.00872549
815,230,379,533,0.00870915
816,588,95,533,0.00870915
817,107,16,533,0.00870915
818,107,367,532,0.00869281
819,380,380,532,0.00869281
820,443,380,531,0.008676471
821,105,307,531,0.008676471
822,314,84,530,0.008660131
823,588,314,529,0.008643791
824,107,310,529,0.008643791
825,353,314,528,0.008627451
826,105,158,528,0.008627451
827,27,56,528,0.008627451
828,107,609,528,0.008627451
829,27,508,528,0.008627451
830,443,80,528,0.008627451
831,105,398,528,0.008627451
832,522,230,528,0.008627451
833,674,80,527,0.008611111
834,331,68,527,0.008611111
835,582,31,526,0.008594771
836,27,64,526,0.008594771
837,84,353,526,0.008594771
838,80,609,526,0.008594771
839,380,11,525,0.008578431
840,331,353,525,0.008578431
841,77,48,525,0.008578431
842,80,84,524,0.008562092
843,335,427,524,0.008562092
844,609,380,524,0.008562092
845,522,9,523,0.008545752
846,673,27,523,0.008545752
847,33,310,523,0.008545752
848,582,48,523,0.008545752
849,32,558,523,0.008545752
850,27,167,522,0.008529412
851,314,204,522,0.008529412
852,77,558,522,0.008529412
853,80,310,521,0.008513072
854,77,404,521,0.008513072
855,353,498,521,0.008513072
856,353,529,520,0.008496732
857,33,224,519,0.008480392
858,27,479,519,0.008480392
859,9,522,518,0.008464052
860,107,397,518,0.008464052
861,663,105,517,0.008447712
862,522,16,516,0.008431373
863,250,27,516,0.008431373
864,27,404,516,0.008431373
865,32,348,516,0.008431373
866,77,614,515,0.008415033
867,26,380,515,0.008415033
868,335,280,514,0.008398693
869,9,33,514,0.008398693
870,236,498,514,0.008398693
871,379,582,514,0.008398693
872,354,314,513,0.008382353
873,34,27,513,0.008382353
874,107,224,512,0.008366013
875,353,25,512,0.008366013
876,4,105,512,0.008366013
877,471,582,512,0.008366013
878,123,16,511,0.008349673
879,107,335,510,0.008333333
880,473,522,510,0.008333333
881,32,230,510,0.008333333
882,68,9,509,0.008316993
883,331,354,509,0.008316993
884,20,6,509,0.008316993
885,475,314,508,0.008300654
886,123,331,508,0.008300654
887,498,158,507,0.008284314
888,107,393,507,0.008284314
889,80,9,506,0.008267974
890,311,310,506,0.008267974
891,68,224,505,0.008251634
892,314,427,505,0.008251634
893,80,311,505,0.008251634
894,311,353,505,0.008251634
895,331,379,505,0.008251634
896,105,348,504,0.008235294
897,230,33,504,0.008235294
898,529,80,503,0.008218954
899,84,397,503,0.008218954
900,532,158,502,0.008202614
901,77,32,502,0.008202614
902,335,663,502,0.008202614
903,473,354,502,0.008202614
904,27,543,500,0.008169935
905,335,26,500,0.008169935
906,236,84,499,0.008153595
907,532,498,499,0.008153595
908,10,310,498,0.008137255
909,10,335,497,0.008120915
910,16,9,497,0.008120915
911,26,105,496,0.008104575
912,80,528,496,0.008104575
913,522,224,496,0.008104575
914,6,80,495,0.008088235
915,313,48,495,0.008088235
916,26,314,495,0.008088235
917,9,313,495,0.008088235
918,9,95,495,0.008088235
919,33,335,494,0.008071895
920,354,310,494,0.008071895
921,77,95,494,0.008071895
922,9,498,494,0.008071895
923,27,427,493,0.008055556
924,302,230,493,0.008055556
925,588,475,493,0.008055556
926,224,353,492,0.008039216
927,335,114,492,0.008039216
928,596,331,492,0.008039216
929,314,723,492,0.008039216
930,27,20,492,0.008039216
931,331,334,491,0.008022876
932,353,158,491,0.008022876
933,314,14,490,0.008006536
934,394,380,490,0.008006536
935,68,331,490,0.008006536
936,9,379,490,0.008006536
937,280,16,489,0.007990196
938,596,353,489,0.007990196
939,230,68,489,0.007990196
940,77,313,489,0.007990196
941,33,123,488,0.007973856
942,311,33,488,0.007973856
943,77,3,488,0.007973856
944,331,10,487,0.007957516
945,331,236,487,0.007957516
946,558,224,487,0.007957516
947,443,105,487,0.007957516
948,9,471,487,0.007957516
949,313,353,486,0.007941176
950,473,15,486,0.007941176
951,393,27,485,0.007924837
952,26,498,485,0.007924837
953,20,15,485,0.007924837
954,130,310,485,0.007924837
955,105,479,485,0.007924837
956,77,68,485,0.007924837
957,11,380,484,0.007908497
958,107,394,484,0.007908497
959,582,219,484,0.007908497
960,313,31,484,0.007908497
961,302,310,484,0.007908497
962,582,498,483,0.007892157
963,314,280,483,0.007892157
964,224,558,482,0.007875817
965,354,80,482,0.007875817
966,335,354,482,0.007875817
967,84,443,482,0.007875817
968,380,443,482,0.007875817
969,514,27,482,0.007875817
970,313,97,481,0.007859477
971,77,6,481,0.007859477
972,532,380,481,0.007859477
973,588,302,481,0.007859477
974,311,219,480,0.007843137
975,9,443,480,0.007843137
976,32,219,480,0.007843137
977,522,335,479,0.007826797
978,522,311,479,0.007826797
979,48,582,479,0.007826797
